Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Orderd,Time_Order_picked,Order_Date,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,City,Time_taken(min),distance,order_making(min),delivery_time(min)
22.745049,75.892471,22.765049,75.912471,11:30:00,11:45:00,19-03-2022,Sunny,High,Snack,motorcycle,0,Urban,24,3.0207366434610647,15,9
12.913041,77.683237,13.043041,77.813237,19:45:00,19:50:00,25-03-2022,Stormy,Jam,Snack,scooter,1,Metropolitian,33,20.1437369103486,5,28
12.914264,77.6784,12.924264,77.6884,08:30:00,08:45:00,19-03-2022,Sandstorms,Low,Drinks,motorcycle,1,Urban,26,1.549692932239404,15,11
11.003669,76.976494,11.053669,77.026494,18:00:00,18:10:00,05-04-2022,Sunny,Medium,Buffet,motorcycle,1,Metropolitian,21,7.774496620087613,10,11
12.972793,80.249982,13.012793,80.289982,13:30:00,13:45:00,26-03-2022,Cloudy,High,Snack,scooter,1,Metropolitian,30,6.197897916874956,15,15
17.431668,78.408321,17.461668,78.438321,21:20:00,21:30:00,11-03-2022,Cloudy,Jam,Buffet,motorcycle,1,Urban,26,4.602205335871525,10,16
23.369746,85.33982,23.479746,85.44982,19:15:00,19:30:00,04-03-2022,Fog,Jam,Meal,scooter,1,Metropolitian,40,16.576886807242534,15,25
12.352058,76.60665,12.482058,76.73665,17:25:00,17:30:00,14-03-2022,Cloudy,Medium,Meal,motorcycle,1,Metropolitian,32,20.164987511903337,5,27
17.433809,78.386744,17.563809,78.516744,20:55:00,21:05:00,20-03-2022,Stormy,Jam,Buffet,motorcycle,1,Metropolitian,34,19.94021940160752,10,24
30.327968,78.046106,30.397968,78.116106,21:55:00,22:10:00,12-02-2022,Fog,Jam,Snack,motorcycle,3,Metropolitian,46,10.27146402322994,15,31
10.003064,76.307589,10.043064,76.347589,14:55:00,15:05:00,13-02-2022,Stormy,High,Meal,motorcycle,1,Metropolitian,23,6.229376076976667,10,13
18.56245,73.916619,18.65245,74.006619,17:30:00,17:40:00,04-03-2022,Sandstorms,Medium,Drinks,scooter,1,Metropolitian,21,13.764305929575334,10,11
30.899584,75.809346,30.919584,75.829346,09:20:00,09:30:00,13-02-2022,Sandstorms,Low,Buffet,motorcycle,0,Metropolitian,20,2.9277947281096,10,10
26.463504,80.372929,26.593504,80.502929,19:50:00,20:05:00,14-02-2022,Fog,Jam,Snack,scooter,1,Metropolitian,41,19.37348408863585,15,26
19.176269,72.836721,19.266269,72.926721,20:25:00,20:35:00,02-04-2022,Sandstorms,Jam,Buffet,electric_scooter,1,Metropolitian,20,13.740932234405252,10,10
12.311072,76.654878,12.351072,76.694878,14:55:00,15:10:00,01-03-2022,Windy,High,Meal,scooter,1,Metropolitian,33,6.205589948340002,15,18
18.592718,73.773572,18.702718,73.883572,20:30:00,20:40:00,16-03-2022,Sandstorms,Jam,Snack,motorcycle,1,Metropolitian,40,16.821191645783845,10,30
22.552672,88.352885,22.582672,88.382885,21:15:00,21:30:00,15-02-2022,Windy,Jam,Meal,motorcycle,1,Urban,15,4.533895591762387,15,0
18.563934,73.915367,18.643935,73.995367,20:20:00,20:25:00,16-03-2022,Sandstorms,Jam,Snack,motorcycle,2,Metropolitian,36,12.23513612361146,5,31
23.357804,85.325146,23.487804,85.455146,22:30:00,22:45:00,10-03-2022,Sandstorms,Low,Meal,electric_scooter,0,Metropolitian,26,19.59099422123533,15,11
11.003669,76.976494,11.013669,76.986494,08:15:00,08:30:00,11-03-2022,Sandstorms,Low,Snack,motorcycle,1,Metropolitian,20,1.554950180979803,15,5
12.986047,80.218114,13.116047,80.348114,19:30:00,19:45:00,27-03-2022,Windy,Jam,Meal,scooter,1,Metropolitian,39,20.140905255245308,15,24
19.221315,72.862381,19.261315,72.902381,12:25:00,12:30:00,26-03-2022,Cloudy,High,Buffet,motorcycle,1,Metropolitian,34,6.106736943461254,5,29
13.005801,80.250744,13.115801,80.360744,18:35:00,18:50:00,27-03-2022,Sunny,Medium,Meal,electric_scooter,1,Metropolitian,15,17.04198395713032,15,0
26.849596,75.800512,26.879596,75.830512,20:35:00,20:40:00,05-04-2022,Stormy,Jam,Snack,motorcycle,0,Urban,18,4.46506838102404,5,13
21.160522,72.771477,21.250522,72.861477,23:20:00,23:30:00,12-03-2022,Cloudy,Low,Drinks,scooter,0,Metropolitian,38,13.66073757837138,10,28
12.934179,77.615797,13.024179,77.705797,21:20:00,21:35:00,16-03-2022,Windy,Jam,Buffet,motorcycle,1,Metropolitian,47,13.94563444308926,15,32
18.51421,73.838429,18.62421,73.948429,23:35:00,23:45:00,02-04-2022,Windy,Low,Buffet,electric_scooter,0,Urban,12,16.82479191121949,10,2
11.022477,76.995667,11.052477,77.025667,22:35:00,22:50:00,01-04-2022,Sandstorms,Low,Drinks,motorcycle,1,Metropolitian,26,4.664630782215899,15,11
21.160437,72.774209,21.210437,72.824209,22:35:00,22:40:00,05-03-2022,Stormy,Low,Drinks,motorcycle,1,Urban,22,7.589769422472331,5,17
15.51315,73.78346,15.56315,73.83346,23:25:00,23:35:00,11-02-2022,Sandstorms,Low,Buffet,motorcycle,0,Urban,21,7.705941974795929,10,11
15.561295,73.749478,15.601295,73.789478,13:35:00,13:40:00,11-02-2022,Cloudy,High,Drinks,scooter,1,Urban,25,6.164143763345328,5,20
18.563934,73.915367,18.693935,74.045367,22:35:00,22:45:00,02-04-2022,Cloudy,Low,Drinks,scooter,1,Metropolitian,30,19.8806889061088,10,20
18.55144,73.804855,18.62144,73.874855,18:55:00,19:10:00,08-03-2022,Sunny,Medium,Snack,motorcycle,1,Metropolitian,22,10.706184356730288,15,7
18.593481,73.785901,18.633481,73.825901,14:15:00,14:25:00,03-04-2022,Windy,High,Snack,scooter,0,Urban,10,6.117369061558013,10,0
21.173343,72.792731,21.183343,72.802731,11:00:00,11:10:00,30-03-2022,Sandstorms,Low,Meal,scooter,1,Metropolitian,19,1.51798712661804,10,9
17.451976,78.385883,17.471976,78.405883,09:45:00,09:55:00,01-04-2022,Sunny,Low,Snack,scooter,1,Urban,11,3.06801652533814,10,1
12.972532,77.608179,12.992532,77.628179,08:40:00,08:55:00,28-03-2022,Stormy,Low,Buffet,scooter,0,Metropolitian,11,3.099010093944629,15,0
12.972532,77.608179,13.042532,77.678179,23:00:00,23:10:00,18-03-2022,Fog,Low,Snack,motorcycle,1,Metropolitian,28,10.846013590626097,10,18
13.064181,80.236442,13.134181,80.306442,17:25:00,17:30:00,14-03-2022,Cloudy,Medium,Snack,motorcycle,1,Metropolitian,33,10.844094035055107,5,28
21.149569,72.772697,21.239569,72.862697,19:45:00,19:50:00,04-04-2022,Sandstorms,Jam,Snack,motorcycle,3,Metropolitian,52,13.661199383826538,5,47
19.091458,72.827808,19.201458,72.937808,19:10:00,19:25:00,08-03-2022,Stormy,Jam,Snack,scooter,1,Metropolitian,22,16.79799879130621,15,7
22.539129,88.365507,22.559129,88.385507,10:55:00,11:00:00,13-02-2022,Fog,Low,Snack,scooter,1,Urban,16,3.022780465653488,5,11
19.221315,72.862381,19.281315,72.922381,21:40:00,21:45:00,24-03-2022,Sunny,Jam,Drinks,electric_scooter,0,Metropolitian,11,9.1598473686937,5,6
12.970324,77.645748,13.030324,77.705748,19:00:00,19:15:00,19-03-2022,Windy,Medium,Drinks,scooter,1,Metropolitian,25,9.296712100181104,15,10
13.064181,80.236442,13.104181,80.276442,16:45:00,16:55:00,09-03-2022,Cloudy,Medium,Drinks,motorcycle,1,Urban,26,6.196805343667927,10,16
21.175975,72.795503,21.185975,72.805503,11:30:00,11:40:00,19-03-2022,Sunny,High,Snack,scooter,1,Metropolitian,18,1.5179748068733323,10,8
23.369746,85.33982,23.409746,85.37982,15:10:00,15:15:00,03-04-2022,Fog,Medium,Snack,motorcycle,1,Metropolitian,16,6.028674005255561,5,11
12.914264,77.6784,13.024264,77.7884,22:45:00,22:55:00,25-03-2022,Stormy,Low,Drinks,scooter,1,Metropolitian,23,17.044988256333504,10,13
11.003681,76.975525,11.083681,77.055525,20:45:00,20:55:00,04-04-2022,Sandstorms,Jam,Drinks,motorcycle,1,Metropolitian,36,12.43888855192116,10,26
21.173343,72.792731,21.233343,72.852731,22:50:00,23:05:00,26-03-2022,Cloudy,Low,Snack,motorcycle,0,Metropolitian,16,9.107220024938371,15,1
10.96185,76.971082,11.05185,77.061082,17:55:00,18:00:00,10-03-2022,Sunny,Medium,Buffet,motorcycle,0,Urban,19,13.994592406584347,5,14
27.165108,78.015053,27.255108,78.105053,22:45:00,23:00:00,14-02-2022,Sunny,Low,Snack,motorcycle,1,Metropolitian,27,13.377332859549806,15,12
26.913987,75.752891,26.993987,75.832891,22:25:00,22:35:00,29-03-2022,Sandstorms,Low,Drinks,scooter,0,Urban,18,11.902753837483976,10,8
12.3085,76.665808,12.3385,76.695808,21:55:00,22:00:00,30-03-2022,Sunny,Jam,Drinks,scooter,0,Metropolitian,22,4.654256824131882,5,17
21.183434,72.814492,21.253434,72.884492,22:40:00,22:55:00,12-03-2022,Cloudy,Low,Drinks,scooter,1,Metropolitian,34,10.624594799022988,15,19
19.254567,72.848923,19.364567,72.958923,23:50:00,23:55:00,31-03-2022,Sandstorms,Low,Buffet,motorcycle,0,Urban,24,16.790293751513897,5,19
18.55144,73.804855,18.59144,73.844855,15:25:00,15:40:00,17-03-2022,Fog,Medium,Drinks,scooter,1,Metropolitian,17,6.118069582492733,15,2
